Company,Time Period,Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
Uber,Six Months,HARD,Amount of New Area Painted Each Day,39.8,0.554650456,https://leetcode.com/problems/amount-of-new-area-painted-each-day,"Array, Segment Tree, Ordered Set"
ShareChat,More Than Six Months,MEDIUM,Amount of Time for Binary Tree to Be Infected,100.0,0.634531618,https://leetcode.com/problems/amount-of-time-for-binary-tree-to-be-infected,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
Spotify,More Than Six Months,MEDIUM,Analyze User Website Visit Pattern,88.8,0.435796554,https://leetcode.com/problems/analyze-user-website-visit-pattern,"Array, Hash Table, Sorting"
UKG,More Than Six Months,MEDIUM,Angle Between Hands of a Clock,88.9,0.641459598,https://leetcode.com/problems/angle-between-hands-of-a-clock,Math
Accenture,More Than Six Months,EASY,Ant on the Boundary,40.1,0.735991315,https://leetcode.com/problems/ant-on-the-boundary,"Array, Simulation, Prefix Sum"
Sprinklr,More Than Six Months,MEDIUM,Apply Bitwise Operations to Make Strings Equal,60.0,0.415899147,https://leetcode.com/problems/apply-bitwise-operations-to-make-strings-equal,"String, Bit Manipulation"
Sprinklr,More Than Six Months,HARD,Apply Operations on Array to Maximize Sum of Squares,78.4,0.430022573,https://leetcode.com/problems/apply-operations-on-array-to-maximize-sum-of-squares,"Array, Hash Table, Greedy, Bit Manipulation"
Virtusa,More Than Six Months,MEDIUM,Apply Operations to Make String Empty,89.4,0.560423106,https://leetcode.com/problems/apply-operations-to-make-string-empty,"Array, Hash Table, Sorting, Counting"
Turing,Thirty Days,MEDIUM,Apply Operations to Make Sum of Array Greater Than or Equal to k,100.0,0.432832581,https://leetcode.com/problems/apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k,"Math, Greedy, Enumeration"
Zeta,More Than Six Months,MEDIUM,Apply Operations to Make Two Strings Equal,87.3,0.271114293,https://leetcode.com/problems/apply-operations-to-make-two-strings-equal,"String, Dynamic Programming"
Deutsche Bank,More Than Six Months,HARD,Apply Operations to Maximize Frequency Score,61.8,0.362062666,https://leetcode.com/problems/apply-operations-to-maximize-frequency-score,"Array, Binary Search, Sliding Window, Sorting, Prefix Sum"
Google,Thirty Days,MEDIUM,Apply Substitutions,53.9,0.783267457,https://leetcode.com/problems/apply-substitutions,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
Baidu,More Than Six Months,MEDIUM,Arithmetic Slices,89.2,0.648252984,https://leetcode.com/problems/arithmetic-slices,"Array, Dynamic Programming, Sliding Window"
Baidu,More Than Six Months,HARD,Arithmetic Slices II - Subsequence,100.0,0.545244533,https://leetcode.com/problems/arithmetic-slices-ii-subsequence,"Array, Dynamic Programming"
GoDaddy,More Than Six Months,EASY,Arranging Coins,89.2,0.472795081,https://leetcode.com/problems/arranging-coins,"Math, Binary Search"
Virtu Financial,More Than Six Months,EASY,Array Transformation,100.0,0.529991492,https://leetcode.com/problems/array-transformation,"Array, Simulation"
Deloitte,More Than Six Months,EASY,Article Views I,65.5,0.771878179,https://leetcode.com/problems/article-views-i,Database
UiPath,More Than Six Months,MEDIUM,As Far from Land as Possible,100.0,0.51793189,https://leetcode.com/problems/as-far-from-land-as-possible,"Array, Dynamic Programming, Breadth-First Search, Matrix"
Accenture,More Than Six Months,EASY,Assign Cookies,56.4,0.53673029,https://leetcode.com/problems/assign-cookies,"Array, Two Pointers, Greedy, Sorting"
Myntra,More Than Six Months,MEDIUM,Asteroid Collision,100.0,0.453287123,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
Block,More Than Six Months,EASY,Available Captures for Rook,81.2,0.702519142,https://leetcode.com/problems/available-captures-for-rook,"Array, Matrix, Simulation"
Netsuite,More Than Six Months,EASY,Average Salary Excluding the Minimum and Maximum Salary,100.0,0.634412602,https://leetcode.com/problems/average-salary-excluding-the-minimum-and-maximum-salary,"Array, Sorting"
Infosys,More Than Six Months,EASY,Average Time of Process per Machine,52.2,0.68889223,https://leetcode.com/problems/average-time-of-process-per-machine,Database
Accenture,More Than Six Months,EASY,Average Value of Even Numbers That Are Divisible by Three,40.1,0.615049161,https://leetcode.com/problems/average-value-of-even-numbers-that-are-divisible-by-three,"Array, Math"
DE Shaw,More Than Six Months,MEDIUM,Average Waiting Time,58.9,0.73060294,https://leetcode.com/problems/average-waiting-time,"Array, Simulation"
blinkit,More Than Six Months,MEDIUM,Avoid Flood in The City,100.0,0.273260108,https://leetcode.com/problems/avoid-flood-in-the-city,"Array, Hash Table, Binary Search, Greedy, Heap (Priority Queue)"
Amdocs,More Than Six Months,EASY,Backspace String Compare,100.0,0.494567403,https://leetcode.com/problems/backspace-string-compare,"Two Pointers, String, Stack, Simulation"
Flexport,More Than Six Months,MEDIUM,Bag of Tokens,82.2,0.591419034,https://leetcode.com/problems/bag-of-tokens,"Array, Two Pointers, Greedy, Sorting"
Apple,More Than Six Months,EASY,Balanced Binary Tree,41.1,0.550605783,https://leetcode.com/problems/balanced-binary-tree,"Tree, Depth-First Search, Binary Tree"
Optum,More Than Six Months,MEDIUM,Bank Account Summary,100.0,0.51903646,https://leetcode.com/problems/bank-account-summary,Database
Turing,More Than Six Months,EASY,Baseball Game,81.2,0.786105437,https://leetcode.com/problems/baseball-game,"Array, Stack, Simulation"
BILL Holdings,More Than Six Months,HARD,Basic Calculator,100.0,0.453532506,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
Highspot,More Than Six Months,MEDIUM,Basic Calculator II,100.0,0.456289132,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
Houzz,More Than Six Months,HARD,Basic Calculator III,100.0,0.523141488,https://leetcode.com/problems/basic-calculator-iii,"Math, String, Stack, Recursion"
Intuit,More Than Six Months,HARD,Basic Calculator IV,48.6,0.485678793,https://leetcode.com/problems/basic-calculator-iv,"Hash Table, Math, String, Stack, Recursion"
Microstrategy,Six Months,MEDIUM,Battleships in a Board,89.6,0.764328956,https://leetcode.com/problems/battleships-in-a-board,"Array, Depth-First Search, Matrix"
HashedIn,Six Months,MEDIUM,Beautiful Arrangement,100.0,0.644918742,https://leetcode.com/problems/beautiful-arrangement,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
Salesforce,All,MEDIUM,Beautiful Towers I,70.9,0.432431233,https://leetcode.com/problems/beautiful-towers-i,"Array, Stack, Monotonic Stack"
Salesforce,All,MEDIUM,Beautiful Towers II,70.9,0.343221839,https://leetcode.com/problems/beautiful-towers-ii,"Array, Stack, Monotonic Stack"
Applied Intuition,Three Months,HARD,Best Meeting Point,94.9,0.612424244,https://leetcode.com/problems/best-meeting-point,"Array, Math, Sorting, Matrix"
Citadel,More Than Six Months,HARD,Best Position for a Service Centre,47.7,0.34795501,https://leetcode.com/problems/best-position-for-a-service-centre,"Array, Math, Geometry, Randomized"
Wayfair,More Than Six Months,MEDIUM,Best Sightseeing Pair,57.2,0.62614783,https://leetcode.com/problems/best-sightseeing-pair,"Array, Dynamic Programming"
Morgan Stanley,More Than Six Months,MEDIUM,Best Team With No Conflicts,57.8,0.503989943,https://leetcode.com/problems/best-team-with-no-conflicts,"Array, Dynamic Programming, Sorting"
Bentley Systems,More Than Six Months,EASY,Best Time to Buy and Sell Stock,100.0,0.550674731,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
CTC,More Than Six Months,MEDIUM,Best Time to Buy and Sell Stock II,100.0,0.692671692,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
